Genre,id
Mystery,1
Sci-Fi,2
Crime,3
Sport,4
History,5
Romance,6
War,7
Fantasy,8
Comedy,9
Drama,10
Horror,11
Western,12
Adventure,13
Thriller,14
Film-Noir,15
Family,16
Animation,17
Musical,18
Documentary,19
Action,20
Music,21
Biography,22
