Title,Cast
The Guest,"Dan Stevens, Sheila Kelley, Maika Monroe, Joel David Moore"
Dumb and Dumber,"Bobby Farrelly, Jim Carrey, Jeff Daniels, Lauren Holly, Mike Starr"
Total Recall,"Arnold Schwarzenegger, Sharon Stone, Michael Ironside, Rachel Ticotin"
The Abyss,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn, Leo Burmester"
The Tomorrow War,"Chris Pratt, Yvonne Strahovski, J.K. Simmons, Betty Gilpin"
Scouts Guide to the Zombie Apocalypse,"Tye Sheridan, Logan Miller, Joey Morgan, Sarah Dumont"
Toy Story,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney"
Caddyshack,"Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight"
Cashback,"Sean Biggerstaff, Emilia Fox, Michelle Ryan, Erica Ellis"
Casablanca,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
Thirteen,"Evan Rachel Wood, Holly Hunter, Nikki Reed, Vanessa Hudgens"
In Time,"Justin Timberlake, Amanda Seyfried, Cillian Murphy, Olivia Wilde"
Jurassic World,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer"
Now You See Me,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson"
Willy Wonka & the Chocolate Factory,"Gene Wilder, Jack Albertson, Peter Ostrum, Roy Kinnear"
The Fast and the Furious,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster"
Beautiful Boy,"Steve Carell, Maura Tierney, Jack Dylan Grazer, Oakley Bull"
Vicky Cristina Barcelona,"Rebecca Hall, Scarlett Johansson, Javier Bardem, Christopher Evan Welch"
The Mask,"Jim Carrey, Cameron Diaz, Peter Riegert, Peter Greene"
Terrifier 2,"Lauren LaVera, David Howard Thornton, Elliott Fullam, Sarah Voigt"
Atonement,"Keira Knightley, James McAvoy, Brenda Blethyn, Saoirse Ronan"
Mr. & Mrs. Smith,"Brad Pitt, Angelina Jolie, Adam Brody, Vince Vaughn"
Sin City,"Quentin Tarantino, Robert Rodriguez, Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Tilda Swinton, Georgie Henley, William Moseley, Skandar Keynes"
Charlie and the Chocolate Factory,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter"
Godzilla: King of the Monsters,"Kyle Chandler, Vera Farmiga, Millie Bobby Brown, Ken Watanabe"
Knock Knock,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns"
Salinui chueok,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha, Song Jae-ho"
The Grand Budapest Hotel,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody"
Lo imposible,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast"
Beauty and the Beast,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad"
Legend,"Tom Cruise, Mia Sara, Tim Curry, David Bennent"
Black Hawk Down,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana"
Man on Fire,"Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell"
Trading Places,"Eddie Murphy, Dan Aykroyd, Ralph Bellamy, Don Ameche"
There Will Be Blood,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer"
The King,"Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley"
Wrong Turn,"Eliza Dushku, Jeremy Sisto, Emmanuelle Chriqui, Desmond Harrington"
The Intouchables,"Éric Toledano, François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Snack Shack,"Conor Sherry, Gabriel LaBelle, Mika Abdalla, Nick Robinson"
The Predator,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key"
Out of Darkness,"Iola Evans, Arno Lüning, Rosebud Melarkey, Tyrell Mhlanga"
Under the Silver Lake,"Andrew Garfield, Riley Keough, Topher Grace, Callie Hernandez"
Lucy,"Scarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked"
Uncut Gems,"Josh Safdie, Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo"
Excalibur,"Nigel Terry, Helen Mirren, Nicholas Clay, Cherie Lunghi"
Space Jam,"Michael Jordan, Wayne Knight, Theresa Randle, Manner Washington"
The Irishman,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
The Great Escape,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson"
Indiana Jones and the Last Crusade,"Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott"
Matilda,"Danny DeVito, Rhea Perlman, Mara Wilson, Embeth Davidtz"
Labyrinth,"David Bowie, Jennifer Connelly, Toby Froud, Shelley Thompson"
The Dead Don't Hurt,"Vicky Krieps, Viggo Mortensen, Solly McLeod, Garret Dillahunt"
Finestkind,"Ben Foster, Toby Wallace, Jenna Ortega, Tommy Lee Jones"
Interview with the Vampire: The Vampire Chronicles,"Brad Pitt, Tom Cruise, Antonio Banderas, Kirsten Dunst"
Sing,"Christophe Lourdelet, Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson"
The Human Centipede (First Sequence),"Dieter Laser, Winter Williams, Ashlynn Yennie, Akihiro Kitamura"
Kick-Ass 2,"Aaron Taylor-Johnson, Chloë Grace Moretz, Christopher Mintz-Plasse, Jim Carrey"
The Favourite,"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult"
Maze Runner: The Death Cure,"Dylan O'Brien, Ki Hong Lee, Kaya Scodelario, Thomas Brodie-Sangster"
World War Z,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale"
Marry Me,"Jennifer Lopez, Owen Wilson, Maluma, John Bradley"
The Sandlot,"Tom Guiry, Mike Vitar, Art LaFleur, Patrick Renna"
Falling Down,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin"
Spartacus,"Anthony Mann, Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton"
A Star Is Born,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg"
Magnolia,"Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman"
Escape from the Planet of the Apes,"Roddy McDowall, Kim Hunter, Bradford Dillman, Natalie Trundy"
Cape Fear,"Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis"
The Perks of Being a Wallflower,"Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd"
Jojo Rabbit,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi"
Scary Movie,"Anna Faris, Jon Abrahams, Marlon Wayans, Carmen Electra"
Frozen,"Jennifer Lee, Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad"
The Hunt,"Betty Gilpin, Hilary Swank, Ike Barinholtz, Wayne Duvall"
Spider-Man: Homecoming,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei"
Infinity Pool,"Alexander Skarsgård, Mia Goth, Cleopatra Coleman, Dunja Sepcic"
Conan the Barbarian,"Arnold Schwarzenegger, James Earl Jones, Max von Sydow, Sandahl Bergman"
V for Vendetta,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea"
Casino Royale,"Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
2012,"John Cusack, Thandiwe Newton, Chiwetel Ejiofor, Amanda Peet"
Moneyball,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman"
The Day After Tomorrow,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok"
The Incredibles,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee"
The Wolverine,"Hugh Jackman, Will Yun Lee, Tao Okamoto, Rila Fukushima"
Harry Potter and the Deathly Hallows - Part 1,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy"
Now and Then,"Christina Ricci, Demi Moore, Rosie O'Donnell, Thora Birch"
The Boy in the Striped Pajamas,"Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien"
"Lock, Stock and Two Smoking Barrels","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham"
Last Night in Soho,"Thomasin McKenzie, Anya Taylor-Joy, Matt Smith, Diana Rigg"
Wild Things,"Kevin Bacon, Neve Campbell, Matt Dillon, Denise Richards"
Up,"Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer"
Aladdin,"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari"
Bastarden,"Mads Mikkelsen, Amanda Collin, Simon Bennebjerg, Melina Hagberg"
Moulin Rouge!,"Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent"
Speed,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton"
Tangled,"Byron Howard, Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman"
The Karate Kid,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove"
Saw,"Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung"
The Outfit,"Mark Rylance, Zoey Deutch, John Gumley-Mason, Stephen Knox"
Under the Skin,"Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell"
Hell or High Water,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham"
The Lost City,"Adam Nee, Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph"
The Game,"Michael Douglas, Deborah Kara Unger, Sean Penn, James Rebhorn"
Beau Is Afraid,"Joaquin Phoenix, Patti LuPone, Amy Ryan, Nathan Lane"
The Greatest Hits,"Lucy Boynton, Justin H. Min, David Corenswet, Austin Crute"
Blazing Saddles,"Cleavon Little, Gene Wilder, Slim Pickens, Harvey Korman"
EuroTrip,"Alec Berg, David Mandel, Scott Mechlowicz, Jacob Pitts, Michelle Trachtenberg, Travis Wester"
The Gift,"Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman"
American Graffiti,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith"
Vertigo,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore"
Big,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard"
Shadow in the Cloud,"Chloë Grace Moretz, Nick Robinson, Beulah Koale, Taylor John Smith"
Rumble Fish,"Matt Dillon, Mickey Rourke, Diane Lane, Dennis Hopper"
Eurovision Song Contest: The Story of Fire Saga,"Will Ferrell, Rachel McAdams, Dan Stevens, Mikael Persbrandt"
The Heartbreak Kid,"Peter Farrelly, Ben Stiller, Michelle Monaghan, Malin Akerman, Jerry Stiller"
War of the Worlds,"Tom Cruise, Dakota Fanning, Tim Robbins, Miranda Otto"
Blue Valentine,"Ryan Gosling, Michelle Williams, John Doman, Faith Wladyka"
Ghost,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn"
Le fabuleux destin d'Amélie Poulain,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta"
Meet Joe Black,"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber"
Spider-Man 3,"Tobey Maguire, Kirsten Dunst, Topher Grace, Thomas Haden Church"
Zack Snyder's Justice League,"Henry Cavill, Ben Affleck, Gal Gadot, Amy Adams"
The Mummy Returns,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Blue Beetle,"Xolo Maridueña, Bruna Marquezine, Becky G, Damián Alcázar"
WALL·E,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
Harry Potter and the Half-Blood Prince,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon"
The Parent Trap,"Lindsay Lohan, Dennis Quaid, Natasha Richardson, Elaine Hendrix"
Traffic,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas"
Cinderella,"Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter"
Footloose,"Kevin Bacon, Lori Singer, John Lithgow, Dianne Wiest"
Young Frankenstein,"Gene Wilder, Madeline Kahn, Marty Feldman, Peter Boyle"
Wind River,"Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille"
Patriots Day,"Mark Wahlberg, Michelle Monaghan, J.K. Simmons, John Goodman"
27 Dresses,"Katherine Heigl, James Marsden, Malin Akerman, Brian Kerwin"
Wonder,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts"
We Need to Talk About Kevin,"Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell"
Into the Wild,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden"
Lee,"Josh O'Connor, Alexander Skarsgård, Kate Winslet, Andrea Riseborough"
Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport"
Go,"Sarah Polley, Jay Mohr, Scott Wolf, Taye Diggs"
Black Panther,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
The Edge,"Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau"
Dodgeball: A True Underdog Story,"Ben Stiller, Christine Taylor, Vince Vaughn, Rip Torn"
Gone with the Wind,"George Cukor, Sam Wood, Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil"
Eternals,"Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek"
The Godfather Part III,"Al Pacino, Diane Keaton, Andy Garcia, Talia Shire"
Little Children,"Kate Winslet, Jennifer Connelly, Patrick Wilson, Jackie Earle Haley"
Rust Creek,"Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman"
Death Becomes Her,"Meryl Streep, Bruce Willis, Goldie Hawn, Isabella Rossellini"
Rear Window,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter"
Airport,"Henry Hathaway, Burt Lancaster, Dean Martin, George Kennedy, Jean Seberg"
Rosemary's Baby,"Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer"
American Gangster,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin"
The Sound of Music,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn"
Stardust,"Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen"
The Bourne Identity,"Franka Potente, Matt Damon, Chris Cooper, Clive Owen"
Silent Hill,"Radha Mitchell, Laurie Holden, Sean Bean, Deborah Kara Unger"
Tomb Raider,"Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu"
Y tu mamá también,"Maribel Verdú, Gael García Bernal, Daniel Giménez Cacho, Ana López Mercado"
Jack Reacher,"Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog"
The English Patient,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas"
The Invitation,"Nathalie Emmanuel, Thomas Doherty, Sean Pertwee, Hugh Skinner"
House of Wax,"Chad Michael Murray, Paris Hilton, Elisha Cuthbert, Brian Van Holt"
Just Go with It,"Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nicole Kidman"
Home Alone,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard"
Walk the Line,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick"
Hook,"Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins"
Sexy Beast,"Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman"
Oblivion,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko"
War Dogs,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner"
Us,"Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker"
Manchester by the Sea,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges"
Alita: Battle Angel,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali"
Erin Brockovich,"Julia Roberts, Albert Finney, David Brisbin, Dawn Didawick"
Road Trip,"Breckin Meyer, Seann William Scott, Amy Smart, Paulo Costanzo"
Sleepwalkers,"Brian Krause, Mädchen Amick, Alice Krige, Jim Haynie"
Run,"Sarah Paulson, Kiera Allen, Sara Sohn, Pat Healy"
28 Weeks Later,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau"
Sunshine,"Cillian Murphy, Rose Byrne, Chris Evans, Cliff Curtis"
Robin Hood: Men in Tights,"Cary Elwes, Richard Lewis, Roger Rees, Amy Yasbeck"
Gangs of New York,"Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, Jim Broadbent"
Crank,"Brian Taylor, Jason Statham, Amy Smart, Carlos Sanz, Jose Pablo Cantillo"
Bad Boys,"Will Smith, Martin Lawrence, Lisa Boyle, Michael Taliferro"
A Nightmare on Elm Street,"Heather Langenkamp, Johnny Depp, Robert Englund, John Saxon"
Not Another Teen Movie,"Chyler Leigh, Jaime Pressly, Chris Evans, Eric Christian Olsen"
Hustle,"Adam Sandler, Queen Latifah, Juancho Hernangomez, Ben Foster"
Unbreakable,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark"
The Beautiful Game,"Micheal Ward, Beckett Handley, Tahvae Hunte, Daniel Attwell"
Zodiac,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards"
Holes,"Shia LaBeouf, Sigourney Weaver, Jon Voight, Tim Blake Nelson"
The Edge of Seventeen,"Hailee Steinfeld, Haley Lu Richardson, Blake Jenner, Kyra Sedgwick"
Spring Breakers,"Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine"
Knocked Up,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann"
National Lampoon's Animal House,"John Belushi, Karen Allen, Tom Hulce, Stephen Furst"
Notting Hill,"Hugh Grant, Julia Roberts, Richard McCabe, Rhys Ifans"
Platoon,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David"
Avengers: Age of Ultron,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
"Three Billboards Outside Ebbing, Missouri","Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
The Intern,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm"
Legend,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson"
Predestination,"Peter Spierig, Ethan Hawke, Sarah Snook, Noah Taylor, Madeleine West"
Showgirls,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer"
Im Westen nichts Neues,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus"
Cruel Intentions,"Sarah Michelle Gellar, Ryan Phillippe, Reese Witherspoon, Selma Blair"
The Matrix Reloaded,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Unforgiven,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris"
Jennifer's Body,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons"
Once Upon a Time in the West,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards"
Skyfall,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench"
Blue Velvet,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern"
Tron: Legacy,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner"
X-Men: Dark Phoenix,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult"
Busanhaeng,"Gong Yoo, Jung Yu-mi, Ma Dong-seok, Kim Su-an"
My Cousin Vinny,"Joe Pesci, Marisa Tomei, Ralph Macchio, Mitchell Whitfield"
Harry Potter and the Order of the Phoenix,"Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson"
Cloud Atlas,"Lana Wachowski, Lilly Wachowski, Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving"
Despicable Me,"Chris Renaud, Steve Carell, Jason Segel, Russell Brand, Julie Andrews"
Fantastic Beasts: The Secrets of Dumbledore,"Eddie Redmayne, Jude Law, Ezra Miller, Dan Fogler"
Verdens verste menneske,"Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum, Hans Olav Brenner"
Legends of the Fall,"Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond"
Hellboy,"Ron Perlman, Doug Jones, Selma Blair, John Hurt"
21 Jump Street,"Christopher Miller, Jonah Hill, Channing Tatum, Ice Cube, Brie Larson"
Shang-Chi and the Legend of the Ten Rings,"Simu Liu, Awkwafina, Tony Leung Chiu-wai, Ben Kingsley"
Gentlemen Broncos,"Michael Angarano, Jemaine Clement, Mike White, John Baker"
The Mist,"Thomas Jane, Marcia Gay Harden, Laurie Holden, Andre Braugher"
The Cabin in the Woods,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz"
Sex and the City,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis"
Galaxy Quest,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub"
Serenity,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk"
Thor: Ragnarok,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo"
Lost in Space,"Gary Oldman, William Hurt, Matt LeBlanc, Mimi Rogers"
Insidious,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye"
Warrior,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison"
The Color Purple,"Fantasia Barrino, Taraji P. Henson, Danielle Brooks, Colman Domingo"
Cruella,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser"
F9,"Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson"
The Town,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner"
The Ritual,"Rafe Spall, Arsher Ali, Robert James-Collier, Sam Troughton"
True Lies,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"
Heathers,"Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk"
Conquest of the Planet of the Apes,"Roddy McDowall, Don Murray, Ricardo Montalban, Natalie Trundy"
Redeeming Love,"Abigail Cowen, Tom Lewis, Eric Dane, Famke Janssen"
Along Came Polly,"Ben Stiller, Jennifer Aniston, Debra Messing, Philip Seymour Hoffman"
Instant Family,"Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar"
Scooby-Doo,"Matthew Lillard, Freddie Prinze Jr., Sarah Michelle Gellar, Linda Cardellini"
Big Daddy,"Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse"
Spectre,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes"
John Wick: Chapter 2,"Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose"
Spider-Man 2,"Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco"
Don Jon,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza"
Remember the Titans,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst"
American Sniper,"Bradley Cooper, Sienna Miller, Kyle Gallner, Cole Konis"
Batman,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl"
Uncle Buck,"John Candy, Macaulay Culkin, Jean Louisa Kelly, Gaby Hoffmann"
Terminator: Dark Fate,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes"
The Deer Hunter,"Robert De Niro, Christopher Walken, John Cazale, John Savage"
Red Notice,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"
Silver Linings Playbook,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver"
School of Rock,"Jack Black, Mike White, Joan Cusack, Adam Pascal"
Shooter,"Mark Wahlberg, Michael Peña, Rhona Mitra, Danny Glover"
Nocturnal Animals,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson"
The Shape of Water,"Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones"
Step Brothers,"Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins"
Percy Jackson & the Olympians: The Lightning Thief,"Logan Lerman, Kevin McKidd, Steve Coogan, Brandon T. Jackson"
Die Hard with a Vengeance,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
Deep Impact,"Robert Duvall, Téa Leoni, Elijah Wood, Morgan Freeman"
Transformers: The Last Knight,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock"
Mission: Impossible - Fallout,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Crazy Rich Asians,"Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan"
Apollo 13,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise"
Captain America: Civil War,"Joe Russo, Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
The Scorpion King,"Dwayne Johnson, Steven Brand, Michael Clarke Duncan, Kelly Hu"
Knock at the Cabin,"Dave Bautista, Jonathan Groff, Ben Aldridge, Nikki Amuka-Bird"
Boyz n the Hood,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir, Lloyd Avery II"
Kandahar,"Tom Rhys Harries, Farhad Bagheri, Gerard Butler, Mitchell LaFortune"
Alice in Wonderland,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway"
Major League,"Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton"
Mortal Engines,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae"
Blood for Dust,"Scoot McNairy, Kit Harington, Josh Lucas, Ethan Suplee"
Little Miss Sunshine,"Valerie Faris, Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin"
The Reader,"Kate Winslet, Ralph Fiennes, Bruno Ganz, Jeanette Hain"
Carrie,"Sissy Spacek, Piper Laurie, Amy Irving, John Travolta"
Air,"Matt Damon, Jason Bateman, Ben Affleck, Chris Messina"
How to Train Your Dragon,"Chris Sanders, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson"
Gifted,"Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer"
Emily the Criminal,"Aubrey Plaza, Theo Rossi, Bernardo Badillo, John Billingsley"
Training Day,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger"
Nightcrawler,"Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed"
Blonde,"Ana de Armas, Lily Fisher, Julianne Nicholson, Tygh Runyan"
A Knight's Tale,"Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon"
Suzume no Tojimari,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu, Shôta Sometani"
Death on the Nile,"Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand"
Cobweb,"Lizzy Caplan, Antony Starr, Cleopatra Coleman, Woody Norman"
Alone,"Jules Willcox, Marc Menchaca, Anthony Heald, Jonathan Rosenthal"
The Pope's Exorcist,"Russell Crowe, Daniel Zovatto, Alexandra Essoe, Franco Nero"
Fear,"Mark Wahlberg, Reese Witherspoon, William Petersen, Amy Brenneman"
This Is 40,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow"
Morning Glory,"Rachel McAdams, Harrison Ford, Diane Keaton, Noah Bean"
Madagascar,"Tom McGrath, Chris Rock, Ben Stiller, David Schwimmer, Jada Pinkett Smith"
Hellboy II: The Golden Army,"Ron Perlman, Selma Blair, Doug Jones, John Alexander"
Shot Caller,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal"
Greenland,"Gerard Butler, Morena Baccarin, Roger Dale Floyd, Scott Glenn"
